"PT","AU","TI","SO","AB","DI","PY"
" J"," Panseri, SaraChiesa, Luca MariaBrizzolari, AndreaSantaniello, EnzoPassero, ElenaBiondi, Pier Antonio"," Improved determination of malonaldehyde by high-performance liquidchromatography with UV detection as 2,3-diaminonaphthalene derivative"," JOURNAL OF CHROMATOGRAPHY B-ANALYTICAL TECHNOLOGIES IN THE BIOMEDICALAND LIFE SCIENCES"," A rapid, specific and simple procedure is proposed for the determinationof free malonaldehyde (MA) contained in fish tissue. The method is theoptimization of the reaction of MA with 2,3-diaminonaphthalene to afforda naphtodiazepinium ion that present a UV absorption at 311 nm, usefulfor MA determination by HPLC with UV detection. The reaction proceeds inthe presence of 25% acetonitrile at 37 degrees C in 20 min at pH 2 using2,4-pentanedione as internal standard. The method has been applied tohomogenized samples of canned mackerel fillets that were treated with2,3-diaminonaphthalene in an acidic aqueous:acetonitrile mixture. Theproduced naphtodiazepinium ion was extracted in acetonitrile by asalting-out homogeneous liquid-liquid extraction. A standard calibrationwas carried out in the range 0.625-10 nmol/g. The reliability of theprocedure is demonstrated by linearity (r(2) = 0.998), limit ofdetection (0.16 nmol/g), limit of quantification (0.22 nmol/g),repeatibility (RSD 5.57%), and intermediate precision (RSD 8.92%). (C)2014 Elsevier B.V. All rights reserved."," 10.1016/j.jchromb.2014.11.017"," 2015"
" J"," Hazra, A.Dutta, K.Bhowmik, B.Bhattacharyya, Partha"," Highly Repeatable Low-ppm Ethanol Sensing Characteristics ofp-TiO2-Based Resistive Devices"," IEEE SENSORS JOURNAL"," In this paper, we report on the development of a highly sensitive,relatively low-temperature ethanol sensor based on sol-gel derivedp-TiO2 thin film. The p-type anatase TiO2 thin film was deposited bysol-gel technique on a thermally oxidized [100] p-Si (resistivity 5Omega cm) substrate. Anatase TiO2 phase with [101] nanocrystallinity wasconfirmed with an average particle size of similar to 11 nm from X-raydiffraction and field emission scanning electron microscopic study.Ethanol sensor study, in the resistive mode, was carried out at arelatively low operating temperature range (75 degrees C-175 degrees C)for sensing low concentrations of ethanol in air (5-100 ppm). Responsemagnitude of similar to 146% was observed at 150 degrees C toward100-ppm ethanol (in air) with corresponding response time and recoverytime of 39 and 15 s, respectively. The sensor showed appreciablyhigh-response magnitude (129%) even at low ethanol concentration (5 ppm)with acceptable response and recovery time (54 and 22 s, respectively)at the same operating temperature (150 degrees C). At a particulartemperature, for all the ethanol concentrations, sensor showed minimalbase line resistance drift, thereby offering highly repeatable andstable sensing performance. Ethanol selectivity study against othervolatile organic compounds, such as methanol, acetone, and 2-butanone,was also investigated and was found to be quite promising. Ethanolsensing mechanism for such p-type TiO2 has also been discussed in thelight of corresponding oxygen vacancy model."," 10.1109/JSEN.2014.2345575"," 2015"
" J"," Bonanno, GiovanniMarano, DavideBelluso, MassimilianoBillotta, SergioGrillo, AlessandroGarozzo, SalvatoreRomeo, GiuseppeTimpanaro, Maria Cristina"," Characterization Measurements Methodology and Instrumental Set-UpOptimization for New SiPM Detectors-Part I: Electrical Tests"," IEEE SENSORS JOURNAL"," A comprehensive and in-depth characterization procedure for obtainingvery accurate measurements on silicon photomultiplier (SiPM) detectorsis described here. A large amount of electro-optical tests aresystematically carried out in terms of the most significant SiPMperformance parameters; in particular, an accurate estimation of thephoton detection efficiency is achieved, based on the single-photoncounting technique, with substraction of the dark noise contribution andavoiding the additional noise sources of crosstalk and after pulsing.Some recently produced detectors are analyzed and their relevantelectro-optical parameters are evaluated in order to confirm theeffectiveness and efficacy of the adopted characterization procedure inassessing the overall SiPM performance. The repeatibility ofmeasurements is carefully verified. All evaluated parameter trends areproved to be compatible with the physics theory of the SiPM device."," 10.1109/JSEN.2014.2328621"," 2014"
" J"," Bonanno, GiovanniMarano, DavideBelluso, MassimilianoBillotta, SergioGrillo, AlessandroGarozzo, SalvatoreRomeo, GiuseppeTimpanaro, Maria Cristina"," Characterization Measurements Methodology and Instrumental Set-UpOptimization for New SiPM Detectors-Part II: Optical Tests"," IEEE SENSORS JOURNAL"," A comprehensive and in-depth characterization procedure for obtainingvery accurate measurements on silicon photomultiplier detectors (SiPMs)is here described. A large amount of optical tests are systematicallycarried out and discussed in terms of the most important SiPMperformance parameters; in particular, an accurate estimation of thephoton detection efficiency in the 350-900-nm wavelength spectral rangeand in steps of 10 nm is achieved, based on the single-photon countingtechnique, with substraction of the dark noise contribution and avoidingthe additional noise sources of crosstalk and afterpulsing. Somerecently produced detectors are analyzed and their relevantelectro-optical parameters are evaluated in order to demonstrate theeffectiveness and efficacy of the adopted characterization procedure anddata-handling protocols in assessing the overall SiPM performance,regardless of the specific device tested. Tests repeatibility iscarefully verified and all the evaluated parameter trends are proved tobe compatible with the physics theory of the SiPM device."," 10.1109/JSEN.2014.2328623"," 2014"
" J"," Yibar, ArtunOzcan, AliKaraca, Mehmet Yilmaz"," Determination of Erythromycin, Spiramycin, Tilmicosin and Tylosin inAnimal Feedingstuffs by Liquid Chromatography-Tandem Mass Spectrometry"," KAFKAS UNIVERSITESI VETERINER FAKULTESI DERGISI"," Detection of macrolides residues in animal feedingstuffs to ensure foodsafety is very important issue. For this purpose, a liquidchromatography tandem mass spectrometry (LC-MS/MS) method was developedand validated for the determination of residues of 4 macrolides(erythromycin, spiramycin, tilmicosin and tylosin) in animalfeedingstuffs. Roxithromycin (ROX), a macrolide not used in veterinarymedicine, was used as internal standard. The mass spectral acquisitionwas done in the positive-ion mode applying multiple reaction monitoringwith the following ions (mass-to-charge ratio, m/z): m/z 837.4 -> 679.2;m/z 734.4 -> 576.2; m/z 422.4 -> 174.1; m/z 869.1 -> 696.1 and m/z 916.4-> 772.4 for roxithromycin (ROX), erythromycin (ERY), spiramycin (SPI),tilmicosin (TIL), and tylosin (TYL), respectively. Good repeatibility,reproducibility and recovery values was obtained. Average recoveriesranged from 98.9% (TIL) to 101% (ERY) and an overall mean of 99.9%.Method limits of detection (LODs) of ERY, SPI, TIL and TYL 5.1, 6.6, 6.7and 7.5 mu g kg-1 were achieved respectively. Method limits ofquantification (LOQs) were 8.5, 11.1, 11.2 and 12.4 mu g kg-1 for thesame drugs, respectively. Satisfactory decision limits (CC alpha) anddetection capabilities (CC beta) were also attained. The method issimple, rapid, sensitive and suitable for the simultaneous determinationof macrolide antibiotics in animal feedingstuffs."," 10.9775/kvfd.2013.10365"," 2014"
" J"," Pinto, F. S. T.Fogliatto, F. S.Qannari, E. M."," A method for panelists' consistency assessment in sensory evaluationsbased on the Cronbach's alpha coefficient"," FOOD QUALITY AND PREFERENCE"," In sensory analysis attributes are measured on samples based on humanjudgment. The ability to detect differences is essential when selectinga panelist, as well as the repeatability in assessments and theagreement among panelists (or reproducibility), which is our definitionof panel consistency. Our goal in this paper is to identify an efficientmethod to compare evaluation profiles from panelists measuring a givensensory attribute on different samples, assessing the panel'sconsistency. For that we investigate two methods available in theliterature - consonance analysis (Dijksterhuis, 1995), and repeatibilityand reproducibility analysis (Rossi, 2001) - and propose a new method,based on the internal consistency test and the calculation of theCronbach's alpha coefficient (Cronbach, 1951). We tested our propositionusing a dataset from a case study in which beef cubes in stew, used ascombat ration by the American Army, are characterized by a sensory panelusing the Spectrum protocol. Different product formulations based onmilitary specifications yielded eight samples evaluated by ninepanelists in quadruplicate. Twenty-four sensory attributes were assessedby the panelists. Results pointed to the Cronbach's alpha coefficient asbest among the methods tested, which is justified threefold: (i) itallows identifying attributes better understood by panelists, (ii) itgives a ranking of panelists according to their consensus with the restof the panel, and (iii) it is analytically simpler in comparison withother methods. (C) 2013 Elsevier Ltd. All rights reserved."," 10.1016/j.foodqual.2013.06.006"," 2014"
" J"," Coscolla, ClaraNavarro-Olivares, SantiagoMarti, PedroYusa, Vicent"," Application of the experimental design of experiments (DoE) for thedetermination of organotin compounds in water samples using HS-SPME andGC-MS/MS"," TALANTA"," When attempting to discover the important factors and then optimise aresponse by tuning these factors, experimental design (design ofexperiments, DoE) gives a powerful suite of statistical methodology. DoEidentify significant factors and then optimise a response with respectto them in method development. In this work, a headspace-solid-phasemicro-extraction (HS-SPME) combined with gas chromatography tandem massspectrometry (GC-MS/MS) methodology for the simultaneous determinationof six important organotin compounds namely monobutyltin (MBT),dibutyltin (DBT), tributyltin (TIBT), monophenyltin (MPhT), diphenyltin(DPhT), triphenyltin (TPhT) has been optimized using a statisticaldesign of experiments (DOE). The analytical method is based on theethylation with NaBEt4 and simultaneous headspace-solid-phasemicro-extraction of the derivative compounds followed by GC-MS/MSanalysis. The main experimental parameters influencing the extractionefficiency selected for optimization were pre-incubation time,incubation temperature, agitator speed, extraction time, desorptiontemperature, buffer (pH, concentration and volume), headspace volume,sample salinity, preparation of standards, ultrasonic time anddesorption time in the injector. The main factors (excitation voltage,excitation time, ion source temperature, isolation time and electronenergy) affecting the GC-IT-MS/MS response were also optimized using thesame statistical design of experiments. The proposed method presentedgood linearity (coefficient of determination R-2> 0.99) and repeatibilty(1-25%) for all the compounds under study. The accuracy of the methodmeasured as the average percentage recovery of the compounds in spikedsurface and marine waters was higher than 70% for all compounds studied.Finally, the optimized methodology was applied to real aqueous samplesenabled the simultaneous determination of all compounds under study insurface and marine water samples obtained from Valencia region (Spain).(C) 2013 Elsevier B.V. All rights reserved."," 10.1016/j.talanta.2013.11.052"," 2014"
" J"," Chlup, R.Zapletalova, J.Krystynik, O.Nadvornikova, M.Zalesakova, H.Bartek, J."," REPEATIBILITY OF PLASMA GLUCOSE CONCENTRATIONS ESTIMATED ON GLUCOMETERCALLA UNDER VARIOUS CLINICAL CONDITIONS"," DIABETES TECHNOLOGY & THERAPEUTICS",NA,NA," 2014"
" J"," Chang XiaofengSong JunJi PengboWang Guosong"," Research on application of virtual reality technology in sailing"," Marine Science Bulletin"," Faced with the non-repeatibility of weather and sea conditions insailing training and competition, through analyzing the force of thesailing boat, we build a dynamic model of sailing stress. With the aidof virtual reality technology, it can set different competitionenvironment and simulate sailing, to assist daily sailing training andcompetition analysis.",NA," 2014"
" J"," Sierra, NoralbaGómez, Gustavo"," Desarrollo y validación de una metodología por cromatografía líquida dealta eficiencia para la determinación simultánea de piperacilina sódicay tazobactam sódico en inyectables para uso humano"," Revista Colombiana de Ciencias Químico - Farmacéuticas"," A reverse phase high performance liquid chromatographic method wasdeveloped for the simultaneous quantitative assay of sodium piperacilineand sodium tazobactam. The method was validated and then applied to thequantitative determination assay of each of two substances A C18 columnstabilized at 38 °C was used and the detection was performed at 220 nm.A mixture of acetonitrile and tetrabutylammonium hydroxide 0,005M pH 5,0(31:69) was used as mobile phase. The method is selective, linear andshows a good repeatibility. The robustness was also verified. Theseproperties besides their simplicities make it convenient for theobjective proposed. The validated method was applied for thesimultaneous assay of piperaciline and tazobactam in one market productswith sanitary register at Instituto Nacional de Vigilancia y Control deMedicamentos y Alimentos (INVIMA). ",NA," 2014"
