"PT","AU","TI","SO","AB","DI","PY"
" J"," Usselman, Melvyn C.Brown, Todd A."," Atomic Theory and Multiple Combining Proportions: The Search for WholeNumber Ratios Essay in Honour of Alan J. Rocke"," ANNALS OF SCIENCE"," John Dalton's atomic theory, with its postulate of compound formationthrough atom-to-atom combination, brought a new perspective to weightrelationships in chemical reactions. A presumed one-to-one combinationof atoms A and B to form a simple compound AB allowed Dalton toconstruct his first table of relative atomic weights from literatureanalyses of appropriate binary compounds. For such simple binarycompounds, the atomic theory had little advantages over affinity theoryas an explanation of fixed proportions by weight. For ternary compoundsof the form AB(2), however, atomic theory made quantitative predictionsthat were not deducible from affinity theory. Atomic theory requiredthat the weight of B in the compound AB(2) be exactly twice that in thecompound AB. Dalton, Thomas Thomson and William Hyde Wollaston allpublished within a few years of each other experimental data thatclaimed to give the predicted results with the required accuracy. Thereare nonetheless several experimental barriers to obtaining the desiredintegral multiple proportions. In this paper I will discuss replicationexperiments which demonstrate that only Wollaston's results areexperimentally reliable. It is likely that such replicability explainswhy Wollaston's experiments were so influential."," 10.1080/00033790.2015.1007522"," 2015"
" J"," Peng, ChanghaiHuang, LuLiu, JianxunHuang, Ying"," Design and practical application of an innovative net-zero energy housewith integrated photovoltaics: a case study from Solar Decathlon China2013"," ARCHITECTURAL SCIENCE REVIEW"," The Solark I Prototype was Southeast University's proposal for SolarDecathlon China 2013. This paper presents the prototype's passivestrategies, active systems and performance results. The limitations,future perspectives and potential for replicability and transposition ofSolark I are also discussed. Through a whole-building design process,Solark I effectively integrates all aspects of weather data analysis,building design, building envelope design, photovoltaic system design,solar hot water system design and heating, ventilating, and airconditioning system design to minimize energy consumption andenvironmental impacts. Solark I achieved an excellent balance betweenpassive strategies and highly efficient active systems. These designdecisions help Solark I to maintain its hydrothermal comfort and performall regular tasks with minimum energy consumption. This low energyconsumption allows Solark I to obtain a positive energy balance both inannual energy simulations and on-site during the monitored period."," 10.1080/00038628.2015.1011075"," 2015"
" J"," Mahmood, Syed ImranDaim, Syed AbdulBorleffs, Jan C. C.Heijne-Penninga, MarjoleinSchonrock-Adema, Johanna"," The transferability of Western concepts to other cultures: Validation ofthe Zuckerman-Kuhlman Personality Questionnaire in a Saudi Arabiccontext"," MEDICAL TEACHER"," Background: The importance of medical education research in Saudi Arabiahas been acknowledged increasingly and a lot of concepts used have beenderived from the Western world. The question arises, however, whetherWestern concepts and questionnaires are transferable to societies withdifferent cultures. The aim of this study was to investigate theinstrument structure and the reliability of the Arabic version of theZuckerman-Kuhlman Personality Questionnaire-medium ( ZKPQ-m).Methods: Three statistical methods with decreased amount of strictnesswere used to analyse our data: Confirmatory Factor Analysis, Procrustesrotation and Principal Component Analysis.Results: Our outcomes did not confirm the original instrument structure.Instead, we found four interpretable components: Emotional Instability,Impulse-seeking, Activeness and Self-Control. However, the amount ofexplained variance was not very high and the internal consistenciesranged from unsatisfactory to only moderate. The data showed a highpercentage of respondents agreeing with more than three items of theInfrequency scale, which may be attributable to the collectivisticculture in Saudi Arabia.Conclusion: We did not succeed in replicating the ZKPQ structure in theArabic context. Social desirability, a common characteristic incollectivistic cultures, may have reduced the replicability of theinternal structure of the ZKPQ-m. Different methods to measure conceptsin collectivistic cultures may help to get round social desirability."," 10.3109/0142159X.2015.1006606"," 2015"
" J"," He, MeianXu, MinZhang, BenLiang, JunChen, PengLee, Jong-YoungJohnson, Todd A.Li, HuaixingYang, XiaoboDai, JunchengLiang, LimingGui, LixuanQi, QibinHuang, JinyanLi, YanpingAdair, Linda S.Aung, TinCai, QiuyinCheng, Ching-YuCho, Myeong-ChanCho, Yoon ShinChu, MinjieCui, BinGao, Yu-TangGo, Min JinGu, DongfengGu, WeiqiongGuo, HuanHao, YongchenHong, JieHu, ZhibinHu, YanlingHuang, JianfengHwang, Joo-YeonIkram, Mohammad KamranJin, GuangfuKang, Dae-HeeKhor, Chiea ChuenKim, Bong-JoKim, Hung TaeKubo, MichiakiLee, JeannetteLee, JuyoungLee, Nanette R.Li, RuoyingLi, JunLiu, JianJunLonge, JirongLu, WeiLu, XiangfengMiao, XiaopingOkada, YukinoriOng, Rick Twee-HeeQiu, GaokunSeielstad, MarkSim, XuelingSong, HuaidongTakeuchi, FumihikoTanaka, ToshihiroTaylor, Phil R.Wang, LaiyuanWang, WeiqingWang, YiqinWu, ChenWu, YingXiang, Yong-BingYamamoto, KenYang, HandongLiao, MingYokota, MitsuhiroYoung, TerriZhang, XiaominKato, NorihiroWang, Qing K.Zheng, WeiHu, Frank B.Lin, DongxinShen, HongbingTeo, Yik YingMo, ZengnanWong, Tien YinLin, XuMohlke, Karen L.Ning, GuangTsunoda, TatsuhikoHan, Bok-GheeShu, Xiao-OuTai, E. ShyongWu, TangchunQi, Lu"," Meta-analysis of genome-wide association studies of adult height in EastAsians identifies 17 novel loci"," HUMAN MOLECULAR GENETICS"," Human height is associated with risk of multiple diseases and isprofoundly determined by an individual's genetic makeup and shows a highdegree of ethnic heterogeneity. Large-scale genome-wide association(GWA) analyses of adult height in Europeans have identified nearly 180genetic loci. A recent study showed high replicability of results fromEuropeans-based GWA studies in Asians; however, population-specific locimay exist due to distinct linkage disequilibrium patterns. We carriedout a GWA meta-analysis in 93 926 individuals from East Asia. Weidentified 98 loci, including 17 novel and 81 previously reported loci,associated with height at P<5x10(-8), together explaining 8.89% ofphenotypic variance. Among the newly identified variants, 10 arecommonly distributed (minor allele frequency, MAF > 5%) in Europeans,with comparable frequencies with in Asians, and 7single-nucleotidepolymorphisms are with low frequency (MAF <5%) in Europeans. Inaddition, our data suggest that novel biological pathway such as theprotein tyrosine phosphatase family is involved in regulation of height.The findings from this study considerably expand our knowledge of thegenetic architecture of human height in Asians."," 10.1093/hmg/ddu583"," 2015"
" J"," Savalei, VictoriaDunn, Elizabeth"," Is the call to abandon p-values the red herring of the replicabilitycrisis?"," FRONTIERS IN PSYCHOLOGY"," In a recent article, Cumming (2014) called for two major changes to howpsychologists conduct research. The first suggested change encouragingtransparency and replication is clearly worthwhile, but we question thewisdom of the second suggested change: abandoning p-values in favor ofreporting confidence intervals (CIs) only in all psychological researchreports. This article has three goals. First, we correct the falseimpression created by Cumming that the debate about the usefulness ofNHST has been won by its critics. Second, we take issue with the impliedconnection between the use of NHST and the current crisis ofreplicability in psychology. Third, while we agree with other critics ofCumming (2014) that hypothesis testing is an important part of science(Morey et al., 2014), we express skepticism that alternative hypothesistesting frameworks, such as Bayes factors, are a solution to thereplicability crisis. Poor methodological practices can compromise thevalidity of Bayesian and classic statistical analyses alike. When itcomes to choosing between competing statistical approaches, we highlightthe value of applying the same standards of evidence that psychologistsdemand in choosing between competing substantive hypotheses."," 10.3389/fpsyg.2015.00245"," 2015"
" J"," Ladas, Aristea I.Carroll, Daniel J.Vivas, Ana B."," Attentional Processes in Low-Socioeconomic Status Bilingual Children:Are They Modulated by the Amount of Bilingual Experience?"," CHILD DEVELOPMENT"," Recent research indicates that bilingual children are more proficient inresolving cognitive conflict than monolinguals. However, thereplicability of such findings has been questioned, with poor control ofparticipants' socioeconomic status (SES) as a possible confoundingfactor. Two experiments are reported here, in which the main attentionalfunctions and pragmatic ability of 54 bilingual and 56 monolinguallow-SES children were assessed (Experiment 1: 6- to 12-year-olds;Experiment 2: 6- to 8-year-olds). A language-switching task was alsoemployed, to measure bilingual proficiency. Overall, the monolingual andbilingual groups did not differ significantly in any of the tasksemployed, although the ability to resolve conflict was related tochildren's level of bilingual experience.",NA," 2015"
" J"," Lishner, David A."," A Concise Set of Core Recommendations to Improve the Dependability ofPsychological Research"," REVIEW OF GENERAL PSYCHOLOGY"," Numerous recommendations for improving the dependability of researchfindings in psychological science have emerged in recent years.Unfortunately, this glut of recommendations proves problematic foradvancing uniform solutions to improve research dependability byindividuals within and across the various constituencies that comprisepsychological science. Moreover, several dependability recommendationspropose practices to address the problem of false positive findings thatcan inversely increase the problem of false negative findings, and viceversa. It is proposed that the solution to this conundrum is to developa concise and concrete list of core research dependabilityrecommendations that address problems of false positive and falsenegative findings in a noncontradicting manner. Examination of thecurrent research dependability literature and earlier literaturesdealing with the problem of false findings is used to arrive at a set ofthree core research dependability recommendations: (a) conduct andpromote direct replication studies; (b) ensure data sharing whenrequested by fellow scientists; and (c) adopt and promote a truthseeking mindset during the research endeavor."," 10.1037/gpr0000028"," 2015"
" J"," Pyeon, DohunPark, In-Woo"," Interaction between Nef and INI1/SMARCB1 augments replicability of HIV-1in resting human peripheral blood mononuclear cells"," ARCHIVES OF VIROLOGY"," A central feature of HIV-1 infection is the inability of entering virusto integrate into chromosomes of resting T lymphocytes unless they aremitogenically activated. In contrast, SIVpbj1.9 replicates in initiallyresting T lymphocytes by activating infected cells. Previous reportshave shown that a difference in Nef-mediated T cell activation betweenHIV-1 and SIVpbj1.9 plays a critical role in the differing abilities ofthese viruses to replicate in resting lymphocytes. However, themolecular details of these differences are still unclear. Here, we showthat infection with a chimeric virus, HSIVnef, which harbors the 5' 308nucleotides of SIVpbj1.9 nef in place of the 5' 221 nucleotides of HIV-1nef in the HIV-1 proviral backbone, resulted in integration of theprovirus into host chromosomes without mitogenic activation and therebyreplication in resting human PBMCs (hPBMCs). These results indicate thatNef is an essential viral determinant for the integration of provirusinto host chromosomes in resting T cells. Using the yeast two-hybridsystem, we identified integrase interactor-1 (INI1/SMARCB1) as acellular factor that is involved in the integration process viainteraction with Nef. Although INI1 interacted with both SIVpbj1.9 andHIV-1 Nefs, SIVpbj1.9 Nef, but not HIV-1 Nef, enhanced proviralintegration into host DNA. Furthermore, mutational analysis revealedthat the basic-amino-acid-rich amino-terminal domain in SIVpbj1.9 Nef iscrucial for interaction with INI1 and virus replication in restinghPBMCs. Taken together, these data indicate that Nef is a critical viralprotein for incorporating nascent proviral DNA into host chromosomes inresting PBMCs and that this occurs through interaction with INI1. Thiselucidates the basis for replication of the integrated provirus when thehost cell is in a resting state."," 10.1007/s00705-014-2315-9"," 2015"
" J"," Yates-Doerr, Emily"," The world in a box? Food security, edible insects, and ""One World, OneHealth"" collaboration."," Social science & medicine (1982)"," Scientists in the Netherlands are cultivating edible insects to addressconcerns of international food security. Committed to the One World, OneHealth (OWOH) movement, their research aims to create a safe andeffective global solution to the conjoined problems of climate changeand an increasing worldwide demand for protein. Their preliminary workis promising, as it suggests that when compared to other sources ofmeat, insects can be an efficient, safe, and low-impact source ofnutrients. Additionally, in many sites with endemic malnutrition, peoplefind insects tasty. The problem these scientists are grappling with,however, is that insects that are easily mass-produced are not theinsects people typically want to eat. This paper shows how thecontingency of edibility complicates existing scientific models oftravel that posit that singular objects spread peripherally outwardsfrom a center into a globally connected, singular world. The scientistsare finding that the production of successful food products necessitatesthat insects be constantly tinkered with: there is no ""insect"" that canbe globally edible since ""the global"" itself is not a singular entity.This in turn complicates the vision of replicability and ""scaling up""inherent in an OWOH vision of science. The researchers' process ofmoving their goods from the laboratory boxes they work with into themealtime practices they seek to impact is compelling them to cultivateand articulate new ideals for research, methods of translation, andpathways by which goods can travel. They are finding that if they wantto affect the health of ""the world,"" they must engage with manydifferent worlds. "," 10.1016/j.socscimed.2014.06.020"," 2015"
" J"," Di Napoli, AgneseWarrier, VarunBaron-Cohen, SimonChakrabarti, Bhismadev"," Genetic variant rs17225178 in the ARNT2 gene is associated with AspergerSyndrome"," MOLECULAR AUTISM"," Background: Autism Spectrum Conditions (ASC) are neurodevelopmentalconditions characterized by difficulties in communication and socialinteraction, alongside unusually repetitive behaviours and narrowinterests. Asperger Syndrome (AS) is one subgroup of ASC and differsfrom classic autism in that in AS there is no language or generalcognitive delay. Genetic, epigenetic and environmental factors areimplicated in ASC and genes involved in neural connectivity andneurodevelopment are good candidates for studying the susceptibility toASC. The aryl-hydrocarbon receptor nuclear translocator 2 (ARNT2) geneencodes a transcription factor involved in neurodevelopmental processes,neuronal connectivity and cellular responses to hypoxia. A mutation inthis gene has been identified in individuals with ASC and singlenucleotide polymorphisms (SNPs) have been nominally associated with ASand autistic traits in previous studies.Methods: In this study, we tested 34 SNPs in ARNT2 for association withAS in 118 cases and 412 controls of Caucasian origin. P values wereadjusted for multiple comparisons, and linkage disequilibrium (LD) amongthe SNPs analysed was calculated in our sample. Finally, SNP annotationallowed functional and structural analyses of the genetic variants inARNT2. We tested the replicability of our result using the genome-wideassociation studies (GWAS) database of the Psychiatric GenomicsConsortium (PGC).Results: We report statistically significant association of rs17225178with AS. This SNP modifies transcription factor binding sites andregions that regulate the chromatin state in neural cell lines. It isalso included in a LD block in our sample, alongside other geneticvariants that alter chromatin regulatory regions in neural cells.Conclusions: These findings demonstrate that rs17225178 in the ARNT2gene is associated with AS and support previous studies that pointed outan involvement of this gene in the predisposition to ASC."," 10.1186/s13229-015-0009-0"," 2015"
